City,State,Year Built,Bathrooms,Bedrooms,Square Footage,List Price,House Type,City_freq,House Age,House Size
Baltimore,MD,1949.0,3,4,1588.0,450000.0,Townhouse,497,76.0,Medium
Washington,DC,1989.0,1,1,772.0,399000.0,Apartment/Condo,188,36.0,Small
Baltimore,MD,1913.0,1,1,672.0,230000.0,Apartment/Condo,497,112.0,Small
Fairfax,VA,1970.0,4,4,1460.0,660000.0,Townhouse,110,55.0,Medium
Washington,DC,1980.0,1,1,562.0,390000.0,Apartment/Condo,188,45.0,Small
Harpers Ferry,WV,2006.0,2,3,1895.0,460000.0,Single-Family Home,16,19.0,Medium
Remington,VA,1979.0,1,2,1212.0,380000.0,Townhouse,2,46.0,Small
Arlington,VA,1939.0,1,1,800.0,349000.0,Apartment/Condo,262,86.0,Small
Severna Park,MD,1979.0,3,3,1879.0,699000.0,Single-Family Home,16,46.0,Medium
Silver Spring,MD,1986.0,2,2,1078.0,230000.0,Townhouse,156,39.0,Small
Baltimore,MD,1879.36,4,3,1942.0,395000.0,Unknown,497,145.6400000000001,Medium
Great Falls,VA,1966.0,3,3,1274.0,1080000.0,Townhouse,25,59.0,Small
New Market,MD,2019.0,3,3,1440.0,490000.0,Townhouse,5,6.0,Medium
Gambrills,MD,1960.0,3,3,1536.0,660000.0,Townhouse,5,65.0,Medium
Springfield,VA,1984.0,3,2,1804.0,725000.0,Other,52,41.0,Medium
Arlington,VA,1978.0,2,4,1275.0,949900.0,Townhouse,262,47.0,Small
Baltimore,MD,1920.0,2,4,2.0,195000.0,Other,497,105.0,Medium
Baltimore,MD,1879.36,4,3,3810.0,395000.0,Single-Family Home,497,145.6400000000001,Large
Washington,DC,2012.0,1,3,1056.0,875000.0,Townhouse,188,13.0,Small
Arlington,VA,1988.0,5,4,2504.0,1270000.0,Single-Family Home,262,37.0,Medium
Hollywood,MD,2004.0,3,5,4238.0,789900.0,Single-Family Home,6,21.0,Large
Falls Church,VA,1952.0,4,5,1872.0,829000.0,Single-Family Home,76,73.0,Medium
Reston,VA,1985.0,3,3,1080.0,569000.0,Townhouse,47,40.0,Small
Washington,DC,1890.0,3,3,1536.0,1456280.0000000007,Townhouse,188,135.0,Medium
Baltimore,MD,2004.0,2,2,1327.0,275000.0,Townhouse,497,21.0,Medium
Queenstown,MD,1986.0,1,4,2.0,199000.0,Other,3,39.0,Medium
Baltimore,MD,1920.0,1,2,1313.0,219000.0,Townhouse,497,105.0,Medium
Ellicott City,MD,2019.0,4,4,2814.0,930000.0,Single-Family Home,58,6.0,Large
Leonardtown,MD,1965.0,2,5,2056.0,320000.0,Single-Family Home,6,60.0,Medium
Brookeville,MD,1973.0,3,3,1378.0,699000.0,Townhouse,1,52.0,Medium
Arlington,VA,2007.0,1,1,868.0,565000.0,Apartment/Condo,262,18.0,Small
Silver Spring,MD,1986.0,2,2,1078.0,230000.0,Townhouse,156,39.0,Small
Stafford,VA,2000.0,4,5,2646.0,719000.0,Single-Family Home,39,25.0,Large
Marriottsville,MD,1984.0,3,3,1896.0,795000.0,Single-Family Home,4,41.0,Medium
Clarksburg,MD,2011.0,3,3,1435.0,385000.0,Townhouse,8,14.0,Medium
Bowie,MD,2022.0,4,3,2180.0,674500.0,Single-Family Home,110,3.0,Medium
Arlington,VA,2000.0,1,2,800.0,485000.0,Apartment/Condo,262,25.0,Small
Severna Park,MD,1986.0,3,4,2456.0,850000.0,Single-Family Home,16,39.0,Medium
Olney,MD,1972.0,3,4,1807.0,774900.0,Single-Family Home,15,53.0,Medium
Baltimore,MD,1953.0,1,1,1216.0,241000.0,Other,497,72.0,Small
